DATE,INFLATION,UNRATE,FEDFUNDS
01/04/1959,0.172306887,5.1,3.08
01/07/1959,0.51514641,5.3,3.58
01/10/1959,0.60447907,5.6,3.99
01/01/1960,0.091888311,5.1,3.93
01/04/1960,0.596915457,5.2,3.7
01/07/1960,0.057468352,5.5,2.94
01/10/1960,0.640056084,6.3,2.3
01/01/1961,0.201274808,6.8,2
01/04/1961,-0.033517681,7,1.73
01/07/1961,0.391455407,6.8,1.68
01/10/1961,0.143484016,6.2,2.4
01/01/1962,0.38937101,5.6,2.46
01/04/1962,0.374625399,5.5,2.61
01/07/1962,0.287475209,5.6,2.85
01/10/1962,0.240578823,5.5,2.92
01/01/1963,0.318780361,5.8,2.97
01/04/1963,0.183576514,5.7,2.96
01/07/1963,0.610584236,5.5,3.33
01/10/1963,0.269817955,5.6,3.45
01/01/1964,0.411449886,5.5,3.46
01/04/1964,0.161524829,5.2,3.49
01/07/1964,0.225697339,5,3.46
01/10/1964,0.459490229,5,3.58
01/01/1965,0.310484701,4.9,3.97
01/04/1965,0.637147743,4.7,4.08
01/07/1965,0.294896604,4.4,4.07
01/10/1965,0.527372419,4.1,4.17
01/01/1966,0.93108499,3.9,4.56
01/04/1966,0.900851023,3.8,4.91
01/07/1966,0.862153938,3.8,5.41
01/10/1966,0.812218206,3.7,5.56
01/01/1967,0.255125423,3.8,4.82
01/04/1967,0.604834456,3.8,3.99
01/07/1967,0.999003313,3.8,3.89
01/10/1967,1.089565012,3.9,4.17
01/01/1968,0.978455512,3.7,4.79
01/04/1968,0.968974453,3.6,5.98
01/07/1968,1.343267289,3.5,5.94
01/10/1968,1.229552781,3.4,5.92
01/01/1969,1.21740634,3.4,6.57
01/04/1969,1.565730465,3.4,8.33
01/07/1969,1.363050299,3.6,8.98
01/10/1969,1.523547264,3.6,8.94
01/01/1970,1.587334916,4.2,8.57
01/04/1970,1.389255138,4.8,7.88
01/07/1970,1.030060868,5.2,6.7
01/10/1970,1.442167607,5.8,5.57
01/01/1971,0.837393147,5.9,3.86
01/04/1971,0.914841922,5.9,4.56
01/07/1971,0.98766235,6,5.47
01/10/1971,0.734397426,5.9,4.75
01/01/1972,0.808914568,5.8,3.54
01/04/1972,0.643895488,5.7,4.3
01/07/1972,0.797293917,5.6,4.74
01/10/1972,1.029665088,5.4,5.14
01/01/1973,1.55975059,4.9,6.54
01/04/1973,2.06984829,4.9,7.82
01/07/1973,1.95423933,4.8,10.56
01/10/1973,2.497567357,4.8,10
01/01/1974,2.932648251,5.1,9.32
01/04/1974,2.643399243,5.2,11.25
01/07/1974,2.77378189,5.6,12.09
01/10/1974,3.025871876,6.6,9.35
01/01/1975,2.114772085,8.3,6.3
01/04/1975,1.196984991,8.9,5.42
01/07/1975,1.985791104,8.5,6.16
01/10/1975,1.825967799,8.3,5.41
01/01/1976,1.138839478,7.7,4.83
01/04/1976,0.890477834,7.6,5.2
01/07/1976,1.583146522,7.7,5.28
01/10/1976,1.443286512,7.8,4.87
01/01/1977,1.818805304,7.5,4.66
01/04/1977,1.729883299,7.1,5.16
01/07/1977,1.375124719,6.9,5.82
01/10/1977,1.463036321,6.7,6.51
01/01/1978,1.705641349,6.3,6.76
01/04/1978,2.249506619,6,7.28
01/07/1978,2.300115202,6,8.1
01/10/1978,2.297298089,5.9,9.58
01/01/1979,2.487326475,5.9,10.07
01/04/1979,3.129700672,5.7,10.18
01/07/1979,3.170492985,5.9,10.95
01/10/1979,3.116465738,6,13.58
01/01/1980,3.869803019,6.3,15.05
01/04/1980,3.31885151,7.3,12.69
01/07/1980,1.858990194,7.7,9.84
01/10/1980,2.7655791,7.4,15.85
01/01/1981,2.727546606,7.4,16.57
01/04/1981,2.064226362,7.4,17.78
01/07/1981,2.746912331,7.4,17.58
01/10/1981,1.612643396,8.2,13.59
01/01/1982,0.884449431,8.8,14.23
01/04/1982,1.434690631,9.4,14.51
01/07/1982,1.721116865,9.9,11.01
01/10/1982,0.306802036,10.7,9.29
01/01/1983,0.068390728,10.4,8.65
01/04/1983,1.149490421,10.1,8.8
01/07/1983,0.970730344,9.4,9.46
01/10/1983,0.994043971,8.5,9.43
01/01/1984,1.407457196,7.9,9.69
01/04/1984,0.938691472,7.4,10.56
01/07/1984,0.865806274,7.4,11.39
01/10/1984,0.858374369,7.3,9.27
01/01/1985,0.914137587,7.2,8.48
01/04/1985,0.904924208,7.3,7.92
01/07/1985,0.620083518,7.2,7.9
01/10/1985,1.014300997,7,8.1
01/01/1986,0.518835206,7,7.83
01/04/1986,-0.488564558,7.2,6.92
01/07/1986,0.609877858,7,6.21
01/10/1986,0.696746654,6.8,6.27
01/01/1987,1.19947269,6.6,6.22
01/04/1987,1.126900264,6.3,6.65
01/07/1987,1.055725185,6,6.84
01/10/1987,0.928578101,5.8,6.92
01/01/1988,0.7773201,5.7,6.66
01/04/1988,1.141158663,5.5,7.16
01/07/1988,1.211510927,5.5,7.98
01/10/1988,1.086512987,5.3,8.47
01/01/1989,1.129918166,5.2,9.44
01/04/1989,1.602969504,5.2,9.73
01/07/1989,0.779110667,5.2,9.08
01/10/1989,1.011718755,5.4,8.61
01/01/1990,1.706224929,5.3,8.25
01/04/1990,0.984724259,5.3,8.24
01/07/1990,1.712248493,5.7,8.16
01/10/1990,1.68417098,6.1,7.74
01/01/1991,0.744788088,6.6,6.43
01/04/1991,0.591862167,6.8,5.86
01/07/1991,0.759096408,6.9,5.64
01/10/1991,0.82600813,7.1,4.82
01/01/1992,0.6758347,7.4,4.02
01/04/1992,0.76580834,7.6,3.77
01/07/1992,0.760698488,7.6,3.26
01/10/1992,0.871898124,7.4,3.04
01/01/1993,0.725362703,7.1,3.04
01/04/1993,0.7194451,7.1,3
01/07/1993,0.461805042,6.8,3.06
01/10/1993,0.825501534,6.6,2.99
01/01/1994,0.500911639,6.6,3.21
01/04/1994,0.566219442,6.2,3.94
01/07/1994,0.922306012,6,4.49
01/10/1994,0.58058134,5.6,5.17
01/01/1995,0.73179009,5.5,5.81
01/04/1995,0.813954528,5.7,6.02
01/07/1995,0.503006304,5.7,5.8
01/10/1995,0.543438824,5.6,5.72
01/01/1996,0.885463104,5.5,5.36
01/04/1996,0.855954652,5.5,5.24
01/07/1996,0.573798195,5.3,5.31
01/10/1996,0.865285634,5.3,5.28
01/01/1997,0.606976416,5.2,5.28
01/04/1997,0.229638467,5,5.52
01/07/1997,0.498754151,4.9,5.53
01/10/1997,0.537730738,4.7,5.51
01/01/1998,0.205767111,4.6,5.52
01/04/1998,0.328472284,4.4,5.5
01/07/1998,0.511814557,4.5,5.53
01/10/1998,0.467787113,4.4,4.86
01/01/1999,0.364890664,4.3,4.73
01/04/1999,0.7462992,4.3,4.75
01/07/1999,0.740172724,4.2,5.09
01/10/1999,0.734734395,4.1,5.31
01/01/2000,0.98484548,4,5.68
01/04/2000,0.780602032,3.9,6.27
01/07/2000,0.909907478,4,6.52
01/10/2000,0.710188941,3.9,6.47
01/01/2001,0.952216784,4.2,5.59
01/04/2001,0.698521109,4.4,4.33
01/07/2001,0.281876127,4.8,3.5
01/10/2001,-0.074901519,5.5,2.13
01/01/2002,0.318927505,5.7,1.73
01/04/2002,0.783146305,5.8,1.75
01/07/2002,0.536817071,5.7,1.74
01/10/2002,0.589613598,5.9,1.44
01/01/2003,1.023395536,5.9,1.25
01/04/2003,-0.163740301,6.1,1.25
01/07/2003,0.743404784,6.1,1.02
01/10/2003,0.37882318,5.8,1
01/01/2004,0.842856485,5.7,1
01/04/2004,0.782681585,5.6,1.01
01/07/2004,0.635706475,5.4,1.43
01/10/2004,1.067854787,5.4,1.95
01/01/2005,0.503952683,5.3,2.47
01/04/2005,0.67351835,5.1,2.94
01/07/2005,1.503101836,5,3.46
01/10/2005,0.928030395,5,3.98
01/01/2006,0.519729745,4.7,4.46
01/04/2006,0.898357567,4.6,4.91
01/07/2006,0.939591616,4.6,5.25
01/10/2006,-0.4113446,4.4,5.25
01/01/2007,0.975785438,4.5,5.26
01/04/2007,1.126188451,4.5,5.25
01/07/2007,0.631017363,4.7,5.07
01/10/2007,1.21933786,4.8,4.5
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
